ID=-2 | Name=Miễn phí | Slug= | isFree=None | isDrm=None
ID=90 | Name=Đồng Tháp 2 | Slug=dong-thap-2 | isFree=1 | isDrm=0
ID=91 | Name=Vĩnh Long 5 | Slug=vinh-long-5 | isFree=1 | isDrm=0
ID=92 | Name=Tuyên Quang | Slug=tuyen-quang | isFree=1 | isDrm=0
ID=96 | Name=France 24 | Slug=france-24 | isFree=1 | isDrm=0
ID=98 | Name=VTV10 HD | Slug=vtv10-hd | isFree=0 | isDrm=0
ID=9838 | Name=BTV6 | Slug=btv6 | isFree=1 | isDrm=0
ID=9852 | Name=TV5 | Slug=tv5 | isFree=1 | isDrm=0
ID=9855 | Name=CNBC | Slug=cnbc | isFree=1 | isDrm=0
ID=9856 | Name=History HD | Slug=history-hd | isFree=1 | isDrm=0
ID=9867 | Name=TV360+ 5 | Slug=tv360-5 | isFree=0 | isDrm=3
ID=9868 | Name=TV360+ 6 | Slug=tv360-6 | isFree=0 | isDrm=3
ID=9869 | Name=TV360+ 7 | Slug=tv360-7 | isFree=0 | isDrm=3
ID=9870 | Name=TV360+ 8 | Slug=tv360-8 | isFree=0 | isDrm=3
ID=9887 | Name=TV360+ 9 | Slug=tv360-9 | isFree=0 | isDrm=0
ID=99 | Name=HGTV | Slug=hgtv | isFree=1 | isDrm=3
ID=9901 | Name=Kix | Slug=kix | isFree=1 | isDrm=0
ID=9902 | Name=Phim Việt | Slug=phim-viet | isFree=0 | isDrm=0
ID=9903 | Name=Phim Âu Mỹ | Slug=phim-au-my | isFree=0 | isDrm=0
ID=9904 | Name=TV360 | Slug=tv360 | isFree=1 | isDrm=0
ID=9905 | Name=FM90 | Slug=fm90 | isFree=1 | isDrm=0
ID=9906 | Name=FM96 | Slug=fm96 | isFree=1 | isDrm=0
ID=9934 | Name=Hoạt hình | Slug=hoat-hinh | isFree=0 | isDrm=0
ID=9951 | Name=VIETNAM TODAY HD | Slug=vietnam-today-hd | isFree=1 | isDrm=0
ID=9957 | Name=TV360+ 10 | Slug=tv360-10 | isFree=0 | isDrm=0
ID=9958 | Name=TV360+ 11 | Slug=tv360-11 | isFree=0 | isDrm=0
ID=9965 | Name=Livestream 01 | Slug=livestream-01 | isFree=1 | isDrm=0
